Date,Price,Open,High,Low,Volume,Chg%
12/27/2006,3974.25,3942.75,3986.75,3937.7,54.70B,0.0086
12/26/2006,3940.5,3871.3,3946.1,3870.45,45.45B,0.0179
12/22/2006,3871.15,3834.9,3880.15,3823.4,50.85B,0.0098
12/21/2006,3833.5,3814.75,3851.2,3768.8,57.30B,0.0047
12/20/2006,3815.55,3832.15,3886.1,3787.55,81.92B,-0.0043
12/19/2006,3832,3928.85,3931.9,3783.45,75.19B,-0.0246
12/18/2006,3928.75,3888.2,3934,3828.15,72.04B,0.0103
12/15/2006,3888.65,3849.6,3908.45,3845.45,90.96B,0.0119
12/14/2006,3843.05,3765.7,3855.05,3763.5,72.36B,0.0207
12/13/2006,3765.2,3716.75,3777.6,3657.65,93.07B,0.013
12/12/2006,3716.9,3849.1,3861.25,3661.6,103.19B,-0.0344
12/11/2006,3849.5,3961.9,3965.05,3798.3,77.13B,-0.0284
12/8/2006,3962,4015.75,4046.85,3948.7,53.67B,-0.0133
12/7/2006,4015.35,4015,4027.7,4001.4,52.64B,-0.0001
12/6/2006,4015.95,4016,4036.2,3982.5,65.43B,0
12/5/2006,4015.75,4001.25,4033.2,4001.25,64.66B,0.0037
12/4/2006,4001,4002.4,4015.25,3991.55,53.82B,0.0009
12/1/2006,3997.6,3955.7,4001.3,3953.95,58.09B,0.0109
11/30/2006,3954.5,3929.4,3973,3929.4,92.62B,0.0067
11/29/2006,3928.2,3922.5,3952.4,3920,59.75B,0.0016
11/28/2006,3921.75,3966,3966,3911.55,59.71B,-0.0119
11/27/2006,3968.9,3974.95,3974.95,3948.85,48.83B,0.0046
11/24/2006,3950.85,3945.45,3965.8,3935.3,67.03B,0.0014
11/23/2006,3945.45,3955.3,3976.8,3933.7,64.56B,-0.0024
11/22/2006,3954.75,3918.3,3960,3909.6,75.05B,0.0093
11/21/2006,3918.25,3859.5,3921.7,3856.75,67.08B,0.0161
11/20/2006,3856.15,3852.65,3866.95,3794.3,83.24B,0.0009
11/17/2006,3852.8,3877,3891.85,3835.7,77.62B,-0.0062
11/16/2006,3876.85,3876.4,3900.4,3863.85,79.98B,0.0001
11/15/2006,3876.3,3865.95,3888.8,3838.25,68.56B,0.0027
